,comment_author,star_rating,comment_date,comment_title,comment
0,Dmitry,1.0 out of 5 stars,"Reviewed in the United States on May 4, 2019",This is very dangerous product ! Do not buy !,"  I've been buying this product for a year, I bought it many times and I would definetely give it 5 start, but...  today when I was enjoying it something very sharp stack deep inside of my tongue.It was piece of very thin still wire of about 0.4 inch of length. It was definitely inside of the seaweed sheet. At first I thought that it is a fish bone in ut it was wire. I'm scared to death now. I was not expecting this to happen. This thing is very very dangerous. I hardly can image what could have happened if I swallowed it. Also I was used to give it to my kids...DO NOT BUY, THIS IS VERY DANGEROUS PRODUCT !!!"
1,S A,1.0 out of 5 stars,"Reviewed in the United States on September 17, 2018",Bug eggs in package?!!,  Thsee don't expire until December. I opened this up today and found what looks like bug eggs. Disgusting. I'm going to have to throw out all the rest now. This was sealed still too so the bug must've got in during initial packaging.
2,Elisa S.,5.0 out of 5 stars,"Reviewed in the United States on December 17, 2018",#1 on my list,"  The photo shows the seaweed brands I've tried in order of preference.Jayone: crisp and lightly salted. Delicious at a bargain price. These are great with a meal or just to satisfy those evening cravings. I also cut them up and take them to the theatre in place of popcorn. These are a tiny bit saltier than the gimMe brand.gimMe: very similar if not quite as salty as the Jayone, just a little more expensive and slightly more oil. They seem to flake a little more than the Jayone, but are still very good. I do like having the option to buy 10g trays or 5g trays for taking along as a snack or addition to a meal.Black Label Gourmet: driest and least salty of the bunch, but still a nice crunch. A little different flavor because they're roasted with olive oil instead of sesame or sunflower. They taste a little less sea-like and a little more earthy. These are the ones I like to use to roll salmon or tuna.Wickedly Prime: I can't recommend these at all. Though they supposedly have less salt than a couple of the other brands, they are terribly greasy and taste so salty I couldn't eat them; neither could my family. The only thing I can think to do with them is rinse them and re-roast them to see if they improve. Definitely not worth buying."
3,Ani_Mon,1.0 out of 5 stars,"Reviewed in the United States on July 23, 2017",Oily and stale,"  The first time I bought these I fell in love.. out of all 10 types of seaweed snacks I have tried, these were the best. The difference was that the first time I ordered through Amazon fresh, not this time, so I'm sure the seller is different. Well, these seaweed snacks are horrible. Oily, the flavor is awful, and stake. Check the pictures out where the oil is dripping inside the packaging."
4,Rachel Humphrey,5.0 out of 5 stars,"Reviewed in the United States on February 4, 2017",The BEST seasoned seaweed makers in the WORLD,"  I ate the entire box in a week. This stuff is DELICIOUS. If you enjoy traditional Korean seaweed, this is it, folks. I've tried several American made brands and they all use WAY too much oil or the seaweed is too thick. This seaweed is perfectly thin and crumbly, salted and lightly seasoned with oils. The pouches arrived the original 24 pack box that was inside an amazon box. I appreciated the Amazon box as I don't want someone to see I have delicious seaweed and decide to take it. I felt like the snack packs had a generous amount of seaweed in them, compared to other snack packs I've tried. One pouch would definitely be great for a rice bowl, udon or just in between classes. Mmm so good."
5,GP,1.0 out of 5 stars,"Reviewed in the United States on June 2, 2017",This batch smelled and tasted like gasoline.,"  This batch smelled and tasted like gasoline...very bizarre.  My kids sniffed it and would not touch it, and I tasted a piece to confirm the packs were ""off"".  Disgusting.  Threw out the whole box"
6,Liam Theis,5.0 out of 5 stars,"Reviewed in the United States on October 18, 2016",A lot of seaweed for the price!,"  I bought this seaweed as a snack food not for sushi, so I can't answer any questions or have any input towards it's position in sushi or rice. I eat it like I'd eat potato chips.I don't think I understood how much seaweed I was getting for the price. I've neever had seaweed and I've never bought it in person so I had no expectations. The massive box showed up filled with a ton of snack pack sized seaweed crisps. My initial taste test of it was not great since I didn't like it too much but it eventually grew on me. If you're new to it or you're feeding it to kids, it takes a couple of tries to know if you like it or not. The packages are easy to open, just tear them like any other snacckfood, and take out the little tray full of sheets.The sheets are a little greasy from whatever processing happens, this isn't an issue at all but I figured I'd mention it. A friend of mine that eats similar products more reguarly figured they needed more salt but they are clearly labeled ""Lightly salted"". Avoid the moisture absorber at the bottom of each pack and you're good to go. This tasty snack will stick in your teeth and affect breath so rinsing your mouth out after eating would be advisable.Pros: Tons of seaweed for the price, Good quality and healthy snack, easy to open.Cons: Slightly greasy, can affect breath/teeth"
7,okbye,4.0 out of 5 stars,"Reviewed in the United States on April 6, 2017",Good size snack and very healthy.,"  As someone who has never tried seaweed before these took a minute to get used to. They are thin sheets of dried seaweed in a little plastic tray, in single serving packs. There's a bit of a waste of packaging but I guess there isn't another way to do it without breaking them up. They are kind of fragile. The serving size is generous and very few calories. I got used to the taste by the 2nd or 3rd sheet. It's a little spinachy, that's probably the closest thing I can think of in taste. Not strong though. They aren't terribly filling but they take some time to eat and make for a good snack."
8,Donnie,1.0 out of 5 stars,"Reviewed in the United States on January 13, 2020",Sanitation procedures,"  I was okay with this product, the taste was fine, etc., but I wasn't okay when I found a big black hair in the seaweed package.  With this in mind, I threw-out nearly an entire order (box) of seaweed in the trash.  Obviously this company doesn't adhere to it's sanitation procedures or rules.  That is disgusting!!!  I forgot to take a picture of that as I was disgusted out of my mind when I found it.  Will look elsewhere for a seaweed product.  Would not recommend."
9,benjamin bannister,4.0 out of 5 stars,"Reviewed in the United States on December 2, 2017",Light On Salt and Texture,"  I am a fan of seaweed snacks and have tried many. This package was okay in terms of overall quality.It is lightly salted as described for those looking to lessen their salt intake. The portions could be bigger because after you're done with a pack you still want more. The texture is really flat (I'm used to bumps and shapes), so it feels like eating flat salted sea chips.This wasn't good enough for me to buy again, but for those looking for a less salty version of a seaweed snack, it may be for you."
10,Margaret,4.0 out of 5 stars,"Reviewed in the United States on January 17, 2020",Most expensive bag of chips ever.,"  Delicious, but who would pay $16 for a bag of chips, really? I thought I was getting a case for that price!"
11,Laura J Armstrong,1.0 out of 5 stars,"Reviewed in the United States on March 31, 2020",A scam,  I love these chips but feel ripped off as I thought BULk meant several bags. This out landing price resulted in just 1 bag.
12,Stacey,1.0 out of 5 stars,"Reviewed in the United States on April 20, 2020","""BULK"" lol","  These are the best snacks ever..... However, just know that they are charging $15-$16 for ONE normal size bag.. even though they are making it sound like it is worth that much."
13,Theresa,1.0 out of 5 stars,"Reviewed in the United States on May 14, 2020",Misleading and unsatisfied,  COMPLETE RIP OFF and Misleading. It’s says bulk. You can get a bag this size at Costco for $8
