score,title,author,date,comment
5,Organic Seaweed Snacks Review,"Linda M.,",14-Jan-20,These seaweed snacks that I have tasted were delicious. I purchased the sea salt flavor and they left me wanting more. Now I cannot seem to get enough of them. Thank You for letting me try these outstanding treats. [This review was collected as part of a promotion.]
5,Iâm hooked!,"Cherlyn,",13-Mar-20,"seen other people buying it. Thought I would try it. First package was surprising! I was surprised by the thinness. Then the slight fishy taste instead of a plant taste was a surprise. Itâs from the sea, naturally, as my son pointed out. But by the time I bought the next two packages, I was hooked! The bit of saltiness and the crunch... yum!"
5,Organic Seaweed Snacks Review,"Chrystal A.,",08-Mar-20,My son loves seaweed but I want to be sure it's good quality. I bought the original sea salt it was a hit! I love that it's organic and the brand has amazing reviews! I sampled a piece and loved it as well. [This review was collected as part of a promotion.]
4,"Wasabi is best, but these come in 2nd","Idk,",07-Jul-20,"I haven't tried all the flavors yet but wasabi is my go to. They were out so I tried sea salt and you can def taste the fishy taste more, but man do I love seaweed. I wish they made giant bags!"
4,Organic Seaweed Snacks Review,"Melissa M.,",27-Dec-19,Ocean's Halo seaweed snacks are great snacks to take on the go or relaxing at home. The small package servings are perfect size. My children loved the flavors sriracha and the chili lime. Was glad to try these as a better snack choice. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Vu L.,",11-Feb-20,"the chili lime is fantastic. it had a great flavor and was very crisp. my only complaint would be that the package seemed lacking. especially given that these are particularly thin, i will need more in the pack to satisfy my snacking! [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Christina K.,",26-Dec-19,"I thought these seaweed snacks were okay; though a little salty for me. i would perhaps purchase another flavor, but not the seasalt again. Besides the saltiness, the seaweed itself tasted interesting. Very unique snack. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Katie P.,",02-Mar-20,"This is a high-quality organic products with good ingredients. I liked that it has a little crisp to it, but it is just too chewy for me after the first crisp. If I'm going to have to gnaw on leaves for a while, if rather just eat a salad. I tried the sea salt, so maybe the other options would have a little more flavor that would make a difference. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Cheyenne S.,",10-Jan-20,it wasnt my thing. the texture my mouth didnt care for . I didnt care for the flavors. My children didnt care for them eaither. The producta didnt smell good............................................................................................................................................ [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Megan M.,",16-Dec-19,"Well....I was very excited to try some of these products because I LOVE Asian food. Today I purchased the seaweed snacks and the ramen bowl. I was very eager to try it so I ripped it open as soon as I got into the car and put a piece into my mouth......And then I almost threw up immediately. I hate to sound dramatic but it's true. I'm not 100% sure if it was a texture thing or an actual taste thing but it was awful!! It took EVERYTHING in my power to not throw up in my car. I had to dig in my center console for a piece of gum to help get the taste out of my mouth. I am still looking forward to trying other products in this line, but the seaweed snacks are definitely not for me. I also purchased the wasabi flavor but I am TERRIFIED to try it. [This review was collected as part of a promotion.]"
